PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME
203077,Michael Kidd-Gilchrist,1610612766,Hornets
203078,Bradley Beal,1610612764,Wizards
203079,Dion Waiters,1610612748,Heat
203080,Thomas Robinson,1610612737,Hawks
203081,Damian Lillard,1610612757,Trail Blazers
203082,Terrence Ross,1610612753,Magic
203083,Andre Drummond,1610612765,Pistons
203084,Harrison Barnes,1610612758,Kings
203085,Austin Rivers,1610612745,Rockets
203086,Meyers Leonard,1610612748,Heat
203087,Jeremy Lamb,1610612754,Pacers
203088,Kendall Marshall,1610612749,Bucks
203089,John Henson,1610612739,Cavaliers
203090,Maurice Harkless,1610612746,Clippers
203091,Royce White,1610612758,Kings
203092,Tyler Zeller,1610612743,Nuggets
203093,Terrence Jones,1610612745,Rockets
203094,Andrew Nicholson,1610612751,Nets
203095,Evan Fournier,1610612753,Magic
203096,Jared Sullinger,1610612761,Raptors
203097,Fab Melo,1610612742,Mavericks
203098,John Jenkins,1610612752,Knicks
203099,Jared Cunningham,1610612749,Bucks
203100,Tony Wroten,1610612763,Grizzlies
203101,Miles Plumlee,1610612763,Grizzlies
203102,Arnett Moultrie,1610612755,76ers
203103,Perry Jones III,1610612740,Pelicans
203104,Marquis Teague,1610612763,Grizzlies
203105,Festus Ezeli,1610612757,Trail Blazers
203106,Jeffery Taylor,1610612766,Hornets
203107,Tomas Satoransky,1610612741,Bulls
203108,Bernard James,1610612742,Mavericks
203109,Jae Crowder,1610612763,Grizzlies
203110,Draymond Green,1610612744,Warriors
203111,Orlando Johnson,1610612749,Bucks
203112,Quincy Acy,1610612756,Suns
203113,Quincy Miller,1610612751,Nets
203114,Khris Middleton,1610612749,Bucks
203115,Will Barton,1610612743,Nuggets
203116,Tyshawn Taylor,1610612751,Nets
203117,Doron Lamb,1610612742,Mavericks
203118,Mike Scott,1610612755,76ers
203119,Kim English,1610612741,Bulls
203120,Justin Hamilton,1610612751,Nets
203121,Darius Miller,1610612740,Pelicans
203122,Kevin Murphy,1610612753,Magic
203123,Kostas Papanikolaou,1610612743,Nuggets
203124,Kyle O'Quinn,1610612755,76ers
203126,Kris Joseph,1610612753,Magic
203128,Furkan Aldemir,1610612755,76ers
203129,Tornike Shengelia,1610612741,Bulls
203130,Darius Johnson-Odom,1610612750,Timberwolves
203133,Robbie Hummel,1610612743,Nuggets
203135,Robert Sacre,1610612740,Pelicans
203136,Ognjen Kuzmic,1610612744,Warriors
203138,Hollis Thompson,1610612758,Kings
203139,Viacheslav Kravtsov,1610612756,Suns
203141,Mirza Teletovic,1610612749,Bucks
203142,Chris Copeland,1610612740,Pelicans
203143,Pablo Prigioni,1610612745,Rockets
203144,Alexey Shved,1610612752,Knicks
203145,Kent Bazemore,1610612757,Trail Blazers
